Round,EventName,DriverNumber,Abbreviation,TeamName,Position,Points
11,Hungarian Grand Prix,55,SAI,Williams,18.0,0.0
11,Hungarian Grand Prix,87,BEA,Haas F1 Team,19.0,0.0
11,Hungarian Grand Prix,81,PIA,McLaren,20.0,0.0
11,Hungarian Grand Prix,11,PER,Cadillac F1 Team,21.0,0.0
11,Hungarian Grand Prix,77,BOT,Cadillac F1 Team,22.0,0.0
12,Dutch Grand Prix,1,NOR,McLaren,1.0,31.0
12,Dutch Grand Prix,12,ANT,Mercedes,2.0,23.0
12,Dutch Grand Prix,63,RUS,Mercedes,3.0,23.0
12,Dutch Grand Prix,44,HAM,Ferrari,4.0,14.0
12,Dutch Grand Prix,16,LEC,Ferrari,5.0,17.0
12,Dutch Grand Prix,81,PIA,McLaren,6.0,12.0
12,Dutch Grand Prix,30,LAW,Red Bull,7.0,6.0
12,Dutch Grand Prix,27,HUL,Audi,8.0,4.0
12,Dutch Grand Prix,14,ALO,Aston Martin,9.0,2.0
12,Dutch Grand Prix,10,GAS,Alpine F1 Team,10.0,2.0
12,Dutch Grand Prix,22,TSU,RB F1 Team,11.0,0.0
12,Dutch Grand Prix,41,LIN,RB F1 Team,12.0,0.0
12,Dutch Grand Prix,5,BOR,Audi,13.0,0.0
12,Dutch Grand Prix,43,COL,Alpine F1 Team,14.0,0.0
12,Dutch Grand Prix,11,PER,Cadillac F1 Team,15.0,0.0
12,Dutch Grand Prix,55,SAI,Williams,16.0,0.0
12,Dutch Grand Prix,23,ALB,Williams,17.0,0.0
12,Dutch Grand Prix,77,BOT,Cadillac F1 Team,18.0,0.0
12,Dutch Grand Prix,31,OCO,Haas F1 Team,19.0,0.0
12,Dutch Grand Prix,18,STR,Aston Martin,20.0,0.0
12,Dutch Grand Prix,87,BEA,Haas F1 Team,21.0,0.0
12,Dutch Grand Prix,3,VER,Red Bull,22.0,3.0
